cluster_id,block,tr_code,tr_label
363,46,8,Sanitation
364,46,1,WSH
365,46,5,Handwashing
366,46,4,Nutrition
367,46,6,Control
368,46,3,Nutrition + WSH
369,47,5,Handwashing
370,47,8,Sanitation
371,47,3,Nutrition + WSH
372,47,2,Control
373,47,6,Control
374,47,7,Water
375,47,4,Nutrition
376,47,1,WSH
377,48,4,Nutrition
378,48,5,Handwashing
379,48,3,Nutrition + WSH
380,48,8,Sanitation
381,48,6,Control
382,48,2,Control
383,48,7,Water
384,48,1,WSH
385,49,4,Nutrition
386,49,2,Control
387,49,7,Water
388,49,3,Nutrition + WSH
389,49,1,WSH
390,49,5,Handwashing
391,49,8,Sanitation
392,49,6,Control
393,50,5,Handwashing
394,50,6,Control
395,50,2,Control
396,50,8,Sanitation
397,50,7,Water
398,50,1,WSH
399,50,3,Nutrition + WSH
400,50,4,Nutrition
401,51,5,Handwashing
402,51,4,Nutrition
403,51,7,Water
404,51,2,Control
405,51,8,Sanitation
406,51,6,Control
407,51,1,WSH
408,51,3,Nutrition + WSH
409,52,2,Control
410,52,8,Sanitation
411,52,5,Handwashing
412,52,6,Control
413,52,1,WSH
414,52,7,Water
415,52,3,Nutrition + WSH
416,52,4,Nutrition
417,53,4,Nutrition
418,53,5,Handwashing
419,53,3,Nutrition + WSH
420,53,7,Water
421,53,1,WSH
422,53,2,Control
423,53,8,Sanitation
424,53,6,Control
425,54,6,Control
426,54,2,Control
427,54,7,Water
428,54,5,Handwashing
429,54,8,Sanitation
430,54,3,Nutrition + WSH
431,54,1,WSH
432,54,4,Nutrition
433,55,4,Nutrition
434,55,8,Sanitation
435,55,1,WSH
436,55,2,Control
437,55,3,Nutrition + WSH
438,55,7,Water
439,55,6,Control
440,55,5,Handwashing
441,56,1,WSH
442,56,4,Nutrition
443,56,5,Handwashing
444,56,7,Water
445,56,8,Sanitation
446,56,6,Control
447,56,2,Control
448,56,3,Nutrition + WSH
449,57,2,Control
450,57,5,Handwashing
451,57,8,Sanitation
452,57,6,Control
453,57,1,WSH
454,57,3,Nutrition + WSH
455,57,4,Nutrition
456,57,7,Water
457,58,3,Nutrition + WSH
458,58,6,Control
459,58,8,Sanitation
460,58,4,Nutrition
461,58,1,WSH
462,58,7,Water
463,58,5,Handwashing
464,58,2,Control
465,59,1,WSH
466,59,2,Control
467,59,8,Sanitation
468,59,3,Nutrition + WSH
469,59,6,Control
470,59,7,Water
471,59,4,Nutrition
472,59,5,Handwashing
473,60,7,Water
474,60,6,Control
475,60,5,Handwashing
476,60,3,Nutrition + WSH
477,60,2,Control
478,60,1,WSH
479,60,8,Sanitation
480,60,4,Nutrition
481,61,4,Nutrition
482,61,3,Nutrition + WSH
483,61,1,WSH
484,61,2,Control
485,61,6,Control
486,61,5,Handwashing
487,61,8,Sanitation
488,61,7,Water
489,62,4,Nutrition
490,62,5,Handwashing
491,62,7,Water
492,62,8,Sanitation
493,62,2,Control
494,62,1,WSH
495,62,6,Control
496,62,3,Nutrition + WSH
497,63,3,Nutrition + WSH
498,63,4,Nutrition
499,63,5,Handwashing
500,63,7,Water
501,63,6,Control
502,63,8,Sanitation
503,63,1,WSH
504,63,2,Control
505,64,5,Handwashing
506,64,1,WSH
507,64,4,Nutrition
508,64,2,Control
509,64,6,Control
510,64,8,Sanitation
511,64,3,Nutrition + WSH
512,64,7,Water
513,65,6,Control
514,65,8,Sanitation
515,65,1,WSH
516,65,4,Nutrition
517,65,5,Handwashing
518,65,7,Water
519,65,3,Nutrition + WSH
520,65,2,Control
521,66,8,Sanitation
522,66,3,Nutrition + WSH
523,66,5,Handwashing
524,66,1,WSH
525,66,6,Control
526,66,7,Water
527,66,4,Nutrition
528,66,2,Control
529,67,2,Control
530,67,4,Nutrition
531,67,1,WSH
532,67,7,Water
533,67,5,Handwashing
534,67,8,Sanitation
535,67,3,Nutrition + WSH
536,67,6,Control
537,68,1,WSH
538,68,5,Handwashing
539,68,3,Nutrition + WSH
540,68,6,Control
541,68,8,Sanitation
542,68,7,Water
543,68,4,Nutrition
544,68,2,Control
545,69,4,Nutrition
546,69,1,WSH
547,69,6,Control
548,69,5,Handwashing
549,69,8,Sanitation
550,69,7,Water
551,69,2,Control
552,69,3,Nutrition + WSH
553,70,8,Sanitation
554,70,5,Handwashing
555,70,2,Control
556,70,4,Nutrition
557,70,6,Control
558,70,7,Water
559,70,1,WSH
560,70,3,Nutrition + WSH
561,71,1,WSH
562,71,3,Nutrition + WSH
563,71,6,Control
564,71,2,Control
565,71,4,Nutrition
566,71,8,Sanitation
567,71,7,Water
568,71,5,Handwashing
569,72,6,Control
570,72,5,Handwashing
571,72,2,Control
572,72,7,Water
573,72,8,Sanitation
574,72,4,Nutrition
575,72,1,WSH
576,72,3,Nutrition + WSH
577,73,5,Handwashing
578,73,3,Nutrition + WSH
579,73,8,Sanitation
580,73,1,WSH
581,73,2,Control
582,73,6,Control
583,73,7,Water
584,73,4,Nutrition
585,74,2,Control
586,74,8,Sanitation
587,74,6,Control
588,74,3,Nutrition + WSH
589,74,4,Nutrition
590,74,5,Handwashing
591,74,7,Water
592,74,1,WSH
593,75,5,Handwashing
594,75,3,Nutrition + WSH
595,75,6,Control
596,75,4,Nutrition
597,75,2,Control
598,75,8,Sanitation
599,75,7,Water
600,75,1,WSH
601,76,8,Sanitation
602,76,1,WSH
603,76,3,Nutrition + WSH
604,76,2,Control
605,76,6,Control
606,76,5,Handwashing
607,76,7,Water
608,76,4,Nutrition
609,77,7,Water
610,77,8,Sanitation
611,77,3,Nutrition + WSH
612,77,1,WSH
613,77,4,Nutrition
614,77,6,Control
615,77,5,Handwashing
616,77,2,Control
617,78,8,Sanitation
618,78,5,Handwashing
619,78,1,WSH
620,78,2,Control
621,78,4,Nutrition
622,78,6,Control
623,78,7,Water
624,78,3,Nutrition + WSH
625,79,2,Control
626,79,7,Water
627,79,5,Handwashing
628,79,1,WSH
629,79,6,Control
630,79,3,Nutrition + WSH
631,79,8,Sanitation
632,79,4,Nutrition
633,80,1,WSH
634,80,7,Water
635,80,4,Nutrition
636,80,2,Control
637,80,6,Control
638,80,3,Nutrition + WSH
639,80,8,Sanitation
640,80,5,Handwashing
641,81,1,WSH
642,81,5,Handwashing
643,81,8,Sanitation
644,81,3,Nutrition + WSH
645,81,7,Water
646,81,2,Control
647,81,6,Control
648,81,4,Nutrition
649,82,8,Sanitation
650,82,7,Water
651,82,1,WSH
652,82,2,Control
653,82,4,Nutrition
654,82,3,Nutrition + WSH
655,82,5,Handwashing
656,82,6,Control
657,83,8,Sanitation
658,83,7,Water
659,83,5,Handwashing
660,83,2,Control
661,83,6,Control
662,83,1,WSH
663,83,3,Nutrition + WSH
664,83,4,Nutrition
665,84,6,Control
666,84,5,Handwashing
667,84,2,Control
668,84,7,Water
669,84,8,Sanitation
670,84,4,Nutrition
671,84,1,WSH
672,84,3,Nutrition + WSH
673,85,1,WSH
674,85,5,Handwashing
675,85,4,Nutrition
676,85,7,Water
677,85,8,Sanitation
678,85,3,Nutrition + WSH
679,85,2,Control
680,85,6,Control
681,86,6,Control
682,86,1,WSH
683,86,5,Handwashing
684,86,2,Control
685,86,7,Water
686,86,8,Sanitation
687,86,3,Nutrition + WSH
688,86,4,Nutrition
689,87,2,Control
690,87,8,Sanitation
691,87,5,Handwashing
692,87,4,Nutrition
693,87,3,Nutrition + WSH
694,87,6,Control
695,87,7,Water
696,87,1,WSH
697,88,8,Sanitation
698,88,2,Control
699,88,7,Water
700,88,3,Nutrition + WSH
701,88,6,Control
702,88,1,WSH
703,88,4,Nutrition
704,88,5,Handwashing
705,89,8,Sanitation
706,89,2,Control
707,89,7,Water
708,89,4,Nutrition
709,89,1,WSH
710,89,5,Handwashing
711,89,6,Control
712,89,3,Nutrition + WSH
713,90,1,WSH
714,90,2,Control
715,90,4,Nutrition
716,90,7,Water
717,90,6,Control
718,90,3,Nutrition + WSH
719,90,5,Handwashing
720,90,8,Sanitation
